date,ticker,close,currency,close_sek,asof_date,source,in_portfolio
2025-09-10,INTRUM.ST,46.04999923706055,SEK,46.04999923706055,2025-09-10,yahoo,False
2025-09-10,EMBRAC-B.ST,87.86000061035156,SEK,87.86000061035156,2025-09-10,yahoo,False
2025-09-10,GOMX.ST,12.68000030517578,SEK,12.68000030517578,2025-09-10,yahoo,False
2025-09-10,PDX.ST,179.0,SEK,179.0,2025-09-10,yahoo,False
2025-09-10,HEXA-B.ST,108.5500030517578,SEK,108.5500030517578,2025-09-10,yahoo,False
2025-09-10,TRUE-B.ST,45.0,SEK,45.0,2025-09-10,yahoo,False
2025-09-10,SBB-B.ST,4.949999809265137,SEK,4.949999809265137,2025-09-10,yahoo,False
2025-09-10,HUBS.ST,0.0309999994933605,SEK,0.0309999994933605,2025-09-10,yahoo,False
2025-09-10,GATE.ST,1.5,SEK,1.5,2025-09-10,yahoo,False
2025-09-10,F2M.ST,0.0280000008642673,SEK,0.0280000008642673,2025-09-10,yahoo,False
2025-09-10,ACWI,135.3300018310547,USD,1264.7630552710325,2025-09-10,yahoo,False
